,A_index,BIN_LABEL,C_flare,DAY,ID,K_index,LABEL,N_PAIRS,N_STATIONS,PAIRS,STATIONS,TIME,YEAR,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,network,new_regions,prn,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area
0,117,1.0,9,324,0,8,1.0,2,4,"'mtvrcolb', 'kntnsidn'","'kntn', 'mtvr', 'colb', 'sidn'",74370,2003,-1.02046855516,-0.176978057537,12.9277735485,347.072914279,46.2871544137,32.0622472735,11.8069960741,148.44065487,32.4510062792,9.89827273227,2.0908461257,11.7444337633,2.144724697,conus,0,GPS 26,175,76.6757870378,7.80618642135,118,2010
1,117,1.0,9,324,1,9,1.0,2,4,"'freolsbn', 'garfwoos'","'garf', 'woos', 'freo', 'lsbn'",76650,2003,1.05659818471,-1.1409286805,11.9634080253,358.942379279,46.2642089414,20.7297185372,11.290630866,158.659956814,20.6305623582,10.4522250381,2.28472793713,12.161865188,1.03666942618,conus,0,GPS 26,175,104.174454143,5.21873106384,118,2010
2,117,1.0,9,324,2,9,1.0,7,10,"'pktngrtn', 'mtvrwoos', 'mtvrcolb', 'grtnerla', 'pktnstkr', 'lebaerla', 'kntnsidn'","'kntn', 'woos', 'pktn', 'leba', 'grtn', 'stkr', 'erla', 'sidn', 'mtvr', 'colb'",75690,2003,2.89893282909,57.0657154407,83.6729825257,379.956791043,37.9102596886,4.15864967287,51.7585365117,17.2744311525,4.15419775355,10.1107273666,0.00100610181142,-1.76128502197,0.689641919952,conus,0,GPS 28,175,29.5842566527,8.16366829458,118,2010
3,117,1.0,9,324,3,8,1.0,2,4,"'zob1garf', 'godeusno'","'garf', 'usno', 'zob1', 'gode'",75570,2003,-1.34044490438,17.6622668513,72.4651987033,356.411171488,38.0733329066,18.6741167563,43.7195176363,44.1980657866,18.6559091829,7.75920097714,0.0456081856759,3.43579591031,2.23432475875,conus,0,GPS 8,175,47.881077794,9.34112845074,118,2010
0,12,0.0,3,1,0,12,3.0,3,4,"'qveccxec', 'ibecepec', 'cxecepec'","'qvec', 'epec', 'ibec', 'cxec'",4860,2014,6.86894099101,7.73349134069,65.6256580895,530.243375224,56.2016458614,12.2002868247,32.0927931648,29.9318620103,11.7464648482,4.94993977315,0.00548488224676,-15.5607757794,3.8857193489,regme,1,GPS 1,160,76.0162054422,6.50926754099,106,610
1,12,0.0,3,1,1,12,3.0,2,3,"'ereccxec', 'cxectnec'","'erec', 'cxec', 'tnec'",5670,2014,8.21516374457,23.1752522515,66.1801123984,335.014795745,56.2016458614,11.1264642661,34.5031378072,19.3313234816,11.1954616894,5.46695686024,2.01566255048,-15.5607757794,2.72128920993,regme,1,GPS 1,160,57.3089489674,5.48583642152,106,610
2,12,0.0,3,1,2,2,3.0,2,3,"'ereccxec', 'qveccxec'","'erec', 'cxec', 'qvec'",30330,2014,2.40118581869,29.6982014005,80.4392774966,418.002810252,20.9844209612,4.5990784793,40.8798281834,14.3933503325,4.57382999914,3.5121216589,0.548935059221,-17.8399328361,2.33741768214,regme,1,GPS 10,160,59.2995190598,5.01280149924,106,610
3,12,0.0,3,1,3,12,3.0,4,5,"'ereccxec', 'qveccxec', 'cxecepec', 'quemcxec'","'erec', 'epec', 'quem', 'cxec', 'qvec'",7980,2014,2.75858368258,34.6652388729,70.8657318101,236.768644368,26.3913491954,0.0710405509509,37.2674789124,28.106119252,0.116758393182,4.31335214295,0.000360708401265,-7.0062027659,2.18809051858,regme,1,GPS 11,160,46.6243047906,5.06631460739,106,610
4,12,0.0,3,1,4,2,3.0,2,3,"'qveccxec', 'qvececec'","'qvec', 'ecec', 'cxec'",42630,2014,5.90787543459,24.9627509723,62.5594325128,658.662315594,48.4189756336,0.539984260208,28.8083523999,35.8357382417,1.47757892785,4.85934368858,0.0680630266788,-47.9907495635,4.38677461296,regme,1,GPS 13,160,96.9466444441,7.45460187911,106,610
5,12,0.0,3,1,5,3,3.0,3,4,"'quemcxec', 'cxecepec', 'cxectnec'","'quem', 'cxec', 'tnec', 'epec'",43830,2014,4.2323930508,10.8114073139,61.4642390996,862.773253718,48.4189756336,-0.309639971254,29.0991139247,57.543055552,0.639922201664,6.08341855497,0.00371529344646,-48.0032699574,5.74204023956,regme,1,GPS 13,160,140.804405064,9.24831350847,106,610
6,12,0.0,3,1,6,4,3.0,3,4,"'qveccxec', 'cxecepec', 'cxectnec'","'qvec', 'cxec', 'tnec', 'epec'",55710,2014,0.212721365193,59.8735130946,56.2683123155,95.0792064618,16.4146794318,9.8465600372,29.2527416129,6.85616984644,9.85117007672,4.37551468869,0.00115398596522,5.80098766871,0.687672219835,regme,1,GPS 18,160,9.06540768985,2.52576954567,106,610
7,12,0.0,3,1,7,3,3.0,2,3,"'ljecclec', 'clecmhec'","'clec', 'ljec', 'mhec'",64860,2014,-0.423999763911,17.5160259072,87.4776127589,59.8701794748,15.3481215741,9.49622944348,46.0390180278,8.77368376556,9.49452994163,9.54006085568,0.000173255194505,4.7254004095,0.750449333639,regme,1,GPS 21,160,10.350122572,2.3652477618,106,610
8,12,0.0,3,1,8,3,3.0,2,4,"'gyecnjec', 'qvececec'","'njec', 'qvec', 'gyec', 'ecec'",65280,2014,-1.48061408369,48.9939740976,73.06533805,110.802071391,12.9749257703,5.89459874976,31.2038818495,5.93786816492,5.94932858574,0.495138062683,0.00151508451825,1.54966904733,0.795446451032,regme,1,GPS 22,160,10.7383115142,3.46666545534,106,610
9,12,0.0,3,1,9,2,3.0,2,4,"'gyecnjec', 'qvececec'","'njec', 'qvec', 'gyec', 'ecec'",32760,2014,17.8154564351,39.5227136245,66.5928601448,911.302551843,24.5643963731,8.50842346843,32.803868231,19.4191298055,8.63119755762,2.37279281884,0.00612339091614,-44.0275623121,2.38730541478,regme,1,GPS 26,160,51.4009196386,4.85789496222,106,610
10,12,1.0,3,1,10,1,1.0,2,4,"'ibeccoec', 'qvececec'","'qvec', 'coec', 'ecec', 'ibec'",19710,2014,2.04288787612,11.1801014282,67.4170841156,129.357829584,20.2441823988,1.23662426787,28.1071688069,16.5339822745,1.24663520762,2.16565471964,0.00676246675339,-9.19337411417,1.03238814625,regme,1,GPS 28,160,18.0584861631,5.45426650263,106,610
11,12,0.0,3,1,11,3,3.0,5,6,"'ereccxec', 'qveccxec', 'cxecepec', 'cxectnec', 'quemcxec'","'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'",51210,2014,11.6363403659,24.4699982288,67.2264906343,1296.56346521,111.191649569,0.758876193846,37.6417704552,51.5658460827,1.73749429713,5.89198134396,0.960253903523,-7.92195473115,7.69993471197,regme,1,GPS 28,160,203.262578303,13.2179474848,106,610
12,12,0.0,3,1,12,4,3.0,2,3,"'quemcxec', 'cxecepec'","'quem', 'cxec', 'epec'",57600,2014,1.89967918192,27.2039799424,57.6133640365,1325.62903476,51.8293165815,7.91622481795,28.2909106404,71.1853219358,8.03088053636,5.06176924148,0.181466577248,-68.2375619098,6.31356943662,regme,1,GPS 4,160,163.381950551,13.5037513767,106,610
13,12,0.0,3,1,13,4,3.0,2,3,"'ereccxec', 'cxectnec'","'erec', 'cxec', 'tnec'",57780,2014,2.11569634671,24.4222107254,57.6133640365,1152.02728284,51.8293165815,8.63457952796,27.8886302412,50.4803342125,8.65789416572,5.25151846602,0.00206636008984,-68.2375619098,6.49958673238,regme,1,GPS 4,160,165.453730267,13.8510584953,106,610
