,A_index,C_flare,K_index,N_PAIRS,N_STATIONS,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,new_regions,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area,bucket_grad,bucket_grad_mean,k_index_bucket,elev_min_bucket,elev_mean_bucket,elev_max_bucket,grad_elev,BIN_LABEL,LABEL,prn,network,STATIONS,PAIRS,ID,YEAR,DAY,TIME
4,12,3,12,3,4,6.86894099101,7.73349134069,65.6256580895,530.243375224,56.2016458614,12.2002868247,32.0927931648,29.9318620103,11.7464648482,4.94993977315,0.00548488224676,-15.5607757794,3.8857193489,1,160,76.0162054422,6.50926754099,106,610,4,1,4,0,2,3,42,0.0,3.0,GPS 1,regme,"'qvec', 'epec', 'ibec', 'cxec'","'qveccxec', 'ibecepec', 'cxecepec'",0,2014,1,4860
5,12,3,12,2,3,8.21516374457,23.1752522515,66.1801123984,335.014795745,56.2016458614,11.1264642661,34.5031378072,19.3313234816,11.1954616894,5.46695686024,2.01566255048,-15.5607757794,2.72128920993,1,160,57.3089489674,5.48583642152,106,610,3,1,4,0,2,3,32,0.0,3.0,GPS 1,regme,"'erec', 'cxec', 'tnec'","'ereccxec', 'cxectnec'",1,2014,1,5670
6,12,3,2,2,3,2.40118581869,29.6982014005,80.4392774966,418.002810252,20.9844209612,4.5990784793,40.8798281834,14.3933503325,4.57382999914,3.5121216589,0.548935059221,-17.8399328361,2.33741768214,1,160,59.2995190598,5.01280149924,106,610,3,1,2,0,2,3,32,0.0,3.0,GPS 10,regme,"'erec', 'cxec', 'qvec'","'ereccxec', 'qveccxec'",2,2014,1,30330
7,12,3,12,4,5,2.75858368258,34.6652388729,70.8657318101,236.768644368,26.3913491954,0.0710405509509,37.2674789124,28.106119252,0.116758393182,4.31335214295,0.000360708401265,-7.0062027659,2.18809051858,1,160,46.6243047906,5.06631460739,106,610,3,1,4,0,2,3,32,0.0,3.0,GPS 11,regme,"'erec', 'epec', 'quem', 'cxec', 'qvec'","'ereccxec', 'qveccxec', 'cxecepec', 'quemcxec'",3,2014,1,7980
8,12,3,2,2,3,5.90787543459,24.9627509723,62.5594325128,658.662315594,48.4189756336,0.539984260208,28.8083523999,35.8357382417,1.47757892785,4.85934368858,0.0680630266788,-47.9907495635,4.38677461296,1,160,96.9466444441,7.45460187911,106,610,4,1,2,0,1,3,41,0.0,3.0,GPS 13,regme,"'qvec', 'ecec', 'cxec'","'qveccxec', 'qvececec'",4,2014,1,42630
9,12,3,3,3,4,4.2323930508,10.8114073139,61.4642390996,862.773253718,48.4189756336,-0.309639971254,29.0991139247,57.543055552,0.639922201664,6.08341855497,0.00371529344646,-48.0032699574,5.74204023956,1,160,140.804405064,9.24831350847,106,610,4,2,2,0,1,3,41,0.0,3.0,GPS 13,regme,"'quem', 'cxec', 'tnec', 'epec'","'quemcxec', 'cxecepec', 'cxectnec'",5,2014,1,43830
10,12,3,4,3,4,0.212721365193,59.8735130946,56.2683123155,95.0792064618,16.4146794318,9.8465600372,29.2527416129,6.85616984644,9.85117007672,4.37551468869,0.00115398596522,5.80098766871,0.687672219835,1,160,9.06540768985,2.52576954567,106,610,2,1,3,0,1,2,21,0.0,3.0,GPS 18,regme,"'qvec', 'cxec', 'tnec', 'epec'","'qveccxec', 'cxecepec', 'cxectnec'",6,2014,1,55710
11,12,3,3,2,3,-0.423999763911,17.5160259072,87.4776127589,59.8701794748,15.3481215741,9.49622944348,46.0390180278,8.77368376556,9.49452994163,9.54006085568,0.000173255194505,4.7254004095,0.750449333639,1,160,10.350122572,2.3652477618,106,610,2,1,2,0,2,3,22,0.0,3.0,GPS 21,regme,"'clec', 'ljec', 'mhec'","'ljecclec', 'clecmhec'",7,2014,1,64860
12,12,3,3,2,4,-1.48061408369,48.9939740976,73.06533805,110.802071391,12.9749257703,5.89459874976,31.2038818495,5.93786816492,5.94932858574,0.495138062683,0.00151508451825,1.54966904733,0.795446451032,1,160,10.7383115142,3.46666545534,106,610,2,1,2,0,2,3,22,0.0,3.0,GPS 22,regme,"'njec', 'qvec', 'gyec', 'ecec'","'gyecnjec', 'qvececec'",8,2014,1,65280
13,12,3,2,2,4,17.8154564351,39.5227136245,66.5928601448,911.302551843,24.5643963731,8.50842346843,32.803868231,19.4191298055,8.63119755762,2.37279281884,0.00612339091614,-44.0275623121,2.38730541478,1,160,51.4009196386,4.85789496222,106,610,4,1,2,0,2,3,42,0.0,3.0,GPS 26,regme,"'njec', 'qvec', 'gyec', 'ecec'","'gyecnjec', 'qvececec'",9,2014,1,32760
