,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_weight_fraction_leaf,params
0,"{0: 0.5, 1: 1.0}",gini,3,,0.0,"{'max_features': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
1,"{0: 0.5, 1: 1.0}",gini,3,,0.2,"{'max_features': None, 'min_weight_fraction_leaf': 0.2, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
2,"{0: 0.5, 1: 1.0}",gini,3,,0.5,"{'max_features': None, 'min_weight_fraction_leaf': 0.5, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
3,"{0: 0.5, 1: 1.0}",gini,3,sqrt,0.0,"{'max_features': 'sqrt', 'min_weight_fraction_leaf': 0.0, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
4,"{0: 0.5, 1: 1.0}",gini,3,sqrt,0.2,"{'max_features': 'sqrt', 'min_weight_fraction_leaf': 0.2, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
5,"{0: 0.5, 1: 1.0}",gini,3,sqrt,0.5,"{'max_features': 'sqrt', 'min_weight_fraction_leaf': 0.5, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
6,"{0: 0.5, 1: 1.0}",gini,3,log2,0.0,"{'max_features': 'log2', 'min_weight_fraction_leaf': 0.0, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
7,"{0: 0.5, 1: 1.0}",gini,3,log2,0.2,"{'max_features': 'log2', 'min_weight_fraction_leaf': 0.2, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
8,"{0: 0.5, 1: 1.0}",gini,3,log2,0.5,"{'max_features': 'log2', 'min_weight_fraction_leaf': 0.5, 'criterion': 'gini', 'max_depth': 3, 'class_weight': {0: 0.5, 1: 1.0}}"
9,"{0: 0.5, 1: 1.0}",gini,6,,0.0,"{'max_features': None, 'min_weight_fraction_leaf': 0.0, 'criterion': 'gini', 'max_depth': 6, 'class_weight': {0: 0.5, 1: 1.0}}"
10,"{0: 0.5, 1: 1.0}",gini,6,,0.2,"{'max_features': None, 'min_weight_fraction_leaf': 0.2, 'criterion': 'gini', 'max_depth': 6, 'class_weight': {0: 0.5, 1: 1.0}}"
11,"{0: 0.5, 1: 1.0}",gini,6,,0.5,"{'max_features': None, 'min_weight_fraction_leaf': 0.5, 'criterion': 'gini', 'max_depth': 6, 'class_weight': {0: 0.5, 1: 1.0}}"
12,"{0: 0.5, 1: 1.0}",gini,6,sqrt,0.0,"{'max_features': 'sqrt', 'min_weight_fraction_leaf': 0.0, 'criterion': 'gini', 'max_depth': 6, 'class_weight': {0: 0.5, 1: 1.0}}"
13,"{0: 0.5, 1: 1.0}",gini,6,sqrt,0.2,"{'max_features': 'sqrt', 'min_weight_fraction_leaf': 0.2, 'criterion': 'gini', 'max_depth': 6, 'class_weight': {0: 0.5, 1: 1.0}}"
