,param_C,param_solver,params
0,0.10000000000000001,newton-cg,"{'C': 0.10000000000000001, 'solver': 'newton-cg'}"
1,0.10000000000000001,lbfgs,"{'C': 0.10000000000000001, 'solver': 'lbfgs'}"
2,0.10000000000000001,sag,"{'C': 0.10000000000000001, 'solver': 'sag'}"
3,0.10000000000000001,liblinear,"{'C': 0.10000000000000001, 'solver': 'liblinear'}"
4,0.20000000000000001,newton-cg,"{'C': 0.20000000000000001, 'solver': 'newton-cg'}"
5,0.20000000000000001,lbfgs,"{'C': 0.20000000000000001, 'solver': 'lbfgs'}"
6,0.20000000000000001,sag,"{'C': 0.20000000000000001, 'solver': 'sag'}"
7,0.20000000000000001,liblinear,"{'C': 0.20000000000000001, 'solver': 'liblinear'}"
8,0.30000000000000004,newton-cg,"{'C': 0.30000000000000004, 'solver': 'newton-cg'}"
9,0.30000000000000004,lbfgs,"{'C': 0.30000000000000004, 'solver': 'lbfgs'}"
10,0.30000000000000004,sag,"{'C': 0.30000000000000004, 'solver': 'sag'}"
11,0.30000000000000004,liblinear,"{'C': 0.30000000000000004, 'solver': 'liblinear'}"
12,0.40000000000000002,newton-cg,"{'C': 0.40000000000000002, 'solver': 'newton-cg'}"
13,0.40000000000000002,lbfgs,"{'C': 0.40000000000000002, 'solver': 'lbfgs'}"
14,0.40000000000000002,sag,"{'C': 0.40000000000000002, 'solver': 'sag'}"
15,0.40000000000000002,liblinear,"{'C': 0.40000000000000002, 'solver': 'liblinear'}"
16,0.5,newton-cg,"{'C': 0.5, 'solver': 'newton-cg'}"
17,0.5,lbfgs,"{'C': 0.5, 'solver': 'lbfgs'}"
18,0.5,sag,"{'C': 0.5, 'solver': 'sag'}"
19,0.5,liblinear,"{'C': 0.5, 'solver': 'liblinear'}"
20,0.59999999999999998,newton-cg,"{'C': 0.59999999999999998, 'solver': 'newton-cg'}"
21,0.59999999999999998,lbfgs,"{'C': 0.59999999999999998, 'solver': 'lbfgs'}"
22,0.59999999999999998,sag,"{'C': 0.59999999999999998, 'solver': 'sag'}"
23,0.59999999999999998,liblinear,"{'C': 0.59999999999999998, 'solver': 'liblinear'}"
24,0.70000000000000007,newton-cg,"{'C': 0.70000000000000007, 'solver': 'newton-cg'}"
25,0.70000000000000007,lbfgs,"{'C': 0.70000000000000007, 'solver': 'lbfgs'}"
26,0.70000000000000007,sag,"{'C': 0.70000000000000007, 'solver': 'sag'}"
27,0.70000000000000007,liblinear,"{'C': 0.70000000000000007, 'solver': 'liblinear'}"
28,0.80000000000000004,newton-cg,"{'C': 0.80000000000000004, 'solver': 'newton-cg'}"
29,0.80000000000000004,lbfgs,"{'C': 0.80000000000000004, 'solver': 'lbfgs'}"
30,0.80000000000000004,sag,"{'C': 0.80000000000000004, 'solver': 'sag'}"
31,0.80000000000000004,liblinear,"{'C': 0.80000000000000004, 'solver': 'liblinear'}"
32,0.90000000000000002,newton-cg,"{'C': 0.90000000000000002, 'solver': 'newton-cg'}"
33,0.90000000000000002,lbfgs,"{'C': 0.90000000000000002, 'solver': 'lbfgs'}"
34,0.90000000000000002,sag,"{'C': 0.90000000000000002, 'solver': 'sag'}"
35,0.90000000000000002,liblinear,"{'C': 0.90000000000000002, 'solver': 'liblinear'}"
